Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Bryton Zielke,11,28,0,40,110,36.4,5,28,17.9,8,16,50.0,67,20,18,15,14,8,93,7.9,1.6,1.4,0.7,8.5,11.7
Bami Olusakin,2,1,0,6,12,50.0,2,4,50.0,3,5,60.0,6,2,0,1,1,2,17,4.0,0.0,0.5,1.0,8.5,9.5
Akinola Akinremi,18,27,0,70,188,37.2,0,11,0.0,12,17,70.6,52,37,43,17,23,0,153,4.9,2.4,0.9,0.0,8.5,8.7
Patrick Schneider,21,37,0,82,173,47.4,2,10,20.0,13,40,32.5,165,89,17,16,39,14,179,12.1,0.8,0.8,0.7,8.5,15.4
Keenan Courchaine,8,8,0,30,69,43.5,2,17,11.8,5,14,35.7,28,15,3,16,13,10,67,5.4,0.4,2.0,1.3,8.4,9.8
Devin Campbell,18,25,0,61,209,29.2,23,108,21.3,7,14,50.0,43,22,27,17,30,1,152,3.6,1.5,0.9,0.1,8.4,4.3
Quinton Chambers,10,14,0,34,124,27.4,13,64,20.3,2,9,22.2,32,8,23,14,24,4,83,4.0,2.3,1.4,0.4,8.3,4.3
Dan Arjomandii,18,33,1,65,165,39.4,7,35,20.0,12,24,50.0,80,45,36,11,28,5,149,6.9,2.0,0.6,0.3,8.3,10.3
Bryan Enns,16,18,2,57,144,39.6,10,33,30.3,9,20,45.0,173,36,29,35,9,20,133,13.1,1.8,2.2,1.3,8.3,19.9
Steven Wong,17,22,0,60,152,39.5,3,13,23.1,18,37,48.6,78,39,28,10,28,5,141,6.9,1.6,0.6,0.3,8.3,9.5
Lance Del Mundo,17,18,1,57,197,28.9,22,85,25.9,3,8,37.5,73,15,34,19,20,2,139,5.2,2.0,1.1,0.1,8.2,6.9
Keven Barron,19,21,0,71,198,35.9,8,36,22.2,6,15,40.0,64,26,18,17,38,1,156,4.7,0.9,0.9,0.1,8.2,5.7
Jordan Jaskiewicz,29,28,0,97,244,39.8,30,101,29.7,12,23,52.2,138,66,33,21,24,7,237,7.0,1.1,0.7,0.2,8.2,11.0
Matthew Kaspick,20,36,0,62,210,29.5,27,123,22.0,12,20,60.0,76,46,16,22,28,3,163,6.1,0.8,1.1,0.2,8.2,7.1
Ethan Harms,15,27,0,47,162,29.0,16,51,31.4,12,25,48.0,84,41,22,19,25,7,122,8.3,1.5,1.3,0.5,8.1,9.5
Dylan Gray,17,21,0,52,136,38.2,10,36,27.8,24,42,57.1,49,22,13,11,11,1,138,4.2,0.8,0.6,0.1,8.1,7.1
Joe Proulx,20,45,1,54,201,26.9,43,170,25.3,5,7,71.4,122,8,28,41,33,14,159,6.5,1.4,2.1,0.7,8.0,9.5
Dharmjit Dhillon,1,3,0,3,11,27.3,0,3,0.0,2,2,100.0,5,1,2,0,1,1,8,6.0,2.0,0.0,1.0,8.0,8.0
Max Ojala,2,4,0,6,19,31.6,1,7,14.3,3,3,100.0,5,2,0,1,10,0,16,3.5,0.0,0.5,0.0,8.0,0.5
Settimo Yugu,1,1,0,3,8,37.5,0,3,0.0,2,2,100.0,0,0,0,2,1,0,8,0.0,0.0,2.0,0.0,8.0,4.0
Steven Koniuck,11,7,0,35,88,39.8,14,39,35.9,4,10,40.0,58,32,14,20,10,2,88,8.2,1.3,1.8,0.2,8.0,13.2
Sam Zaid,1,2,0,3,7,42.9,2,6,33.3,0,0,0.0,5,0,0,1,1,0,8,5.0,0.0,1.0,0.0,8.0,9.0
Tyrece Viner,3,5,0,11,20,55.0,1,3,33.3,1,7,14.3,13,11,2,0,4,1,24,8.0,0.7,0.0,0.3,8.0,10.7
Zach Caithness,1,0,0,3,9,33.3,2,7,28.6,0,0,0.0,1,0,1,3,0,0,8,1.0,1.0,3.0,0.0,8.0,7.0
Shazil Ghouri,1,1,0,3,7,42.9,2,5,40.0,0,0,0.0,3,0,0,1,0,0,8,3.0,0.0,1.0,0.0,8.0,8.0
Carter Butterfield,4,8,0,16,100,16.0,0,7,0.0,0,4,0.0,8,3,6,4,4,2,32,2.8,1.5,1.0,0.5,8.0,-9.3
Jordan Buenaventura,1,0,0,3,10,30.0,0,4,0.0,2,3,66.7,1,2,2,3,0,0,8,3.0,2.0,3.0,0.0,8.0,8.0
Odik Opap,19,26,1,57,162,35.2,29,90,32.2,9,12,75.0,48,20,14,11,24,3,152,3.6,0.7,0.6,0.2,8.0,6.1
Cj Bantug,12,15,0,41,124,33.1,8,48,16.7,6,17,35.3,64,15,24,14,24,8,96,6.6,2.0,1.2,0.7,8.0,8.6
Ryan Griffiths,10,19,0,31,67,46.3,0,6,0.0,18,24,75.0,34,25,6,14,6,3,80,5.9,0.6,1.4,0.3,8.0,11.4
Andrew Torbiak,1,0,0,4,11,36.4,0,2,0.0,0,5,0.0,6,1,1,2,4,2,8,7.0,1.0,2.0,2.0,8.0,4.0
Mike Collins,2,3,1,8,18,44.4,0,3,0.0,0,2,0.0,7,7,3,0,4,1,16,7.0,1.5,0.0,0.5,8.0,9.0
Victor Dos Santos,19,44,1,62,185,33.5,9,29,31.0,13,27,48.1,97,46,35,35,39,3,152,7.5,1.8,1.8,0.2,8.0,10.1
Gwyn Bernardo,22,36,1,69,193,35.8,20,74,27.0,13,21,61.9,87,37,28,14,36,8,173,5.6,1.3,0.6,0.4,7.9,8.1
Jesse Davidson,9,23,1,28,67,41.8,8,27,29.6,7,11,63.6,38,13,25,12,14,2,71,5.7,2.8,1.3,0.2,7.9,11.6
Adam Zaid,18,6,0,50,144,34.7,31,84,36.9,12,16,75.0,36,8,6,7,9,1,143,2.4,0.3,0.4,0.1,7.9,5.2
Jack Nott,16,20,2,56,168,33.3,9,60,15.0,4,13,30.8,38,17,30,12,29,2,124,3.4,1.9,0.8,0.1,7.8,4.6
Beruk Tadesse,16,22,0,45,128,35.2,29,89,32.6,6,11,54.5,40,19,19,19,21,3,125,3.7,1.2,1.2,0.2,7.8,7.3
Calvin Lorenzo,16,20,0,50,135,37.0,17,55,30.9,8,17,47.1,25,18,26,12,24,2,125,2.7,1.6,0.8,0.1,7.8,5.6
Joshua Cruz,17,5,0,47,146,32.2,37,120,30.8,1,4,25.0,17,4,11,8,15,1,132,1.2,0.6,0.5,0.1,7.8,3.3
