Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Carter Butterfield,9,23,0,39,97,40.2,1,4,25.0,14,20,70.0,41,33,12,3,15,1,93,8.2,1.3,0.3,0.1,10.3
Ruidi Shi,11,14,0,40,107,37.4,28,85,32.9,4,11,36.4,35,11,31,16,19,3,112,4.2,2.8,1.5,0.3,10.2
Gavin Calnek,6,5,1,25,67,37.3,6,23,26.1,5,11,45.5,7,3,6,9,13,0,61,1.7,1.0,1.5,0.0,10.2
Jagman Gill,10,25,1,34,113,30.1,10,53,18.9,23,38,60.5,47,25,15,14,17,3,101,7.2,1.5,1.4,0.3,10.1
Asha Donnelly,9,9,0,37,97,38.1,10,46,21.7,7,12,58.3,29,7,17,13,20,2,91,4.0,1.9,1.4,0.2,10.1
Indi Agar,10,10,0,41,106,38.7,14,44,31.8,5,6,83.3,41,17,7,7,15,3,101,5.8,0.7,0.7,0.3,10.1
Gary McIntosh,10,7,0,37,74,50.0,5,16,31.3,22,29,75.9,28,15,25,13,12,1,101,4.3,2.5,1.3,0.1,10.1
Aeron Balbin,12,12,0,55,133,41.4,9,44,20.5,1,16,6.3,24,21,21,10,14,1,120,3.8,1.8,0.8,0.1,10.0
Scott Friesen,1,1,0,4,7,57.1,0,2,0.0,2,2,100.0,0,3,3,1,1,1,10,3.0,3.0,1.0,1.0,10.0
Kuch Akeen,2,4,0,8,22,36.4,4,9,44.4,0,0,0.0,9,2,5,3,12,0,20,5.5,2.5,1.5,0.0,10.0
Greg Wint,2,4,0,9,19,47.4,2,9,22.2,0,2,0.0,12,2,4,5,11,1,20,7.0,2.0,2.5,0.5,10.0
Jason Malcolm,1,3,0,4,15,26.7,1,8,12.5,1,2,50.0,4,3,2,1,1,0,10,7.0,2.0,1.0,0.0,10.0
