Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Kyle Queijo,8,9,0,34,82,41.5,14,41,34.1,7,12,58.3,3.8,3.5,1.0,0.3,11.1,,,,,,,
Dylan Tagle,6,7,0,25,63,39.7,6,17,35.3,10,14,71.4,10.7,4.7,1.3,0.3,11.0,,,,,,,
Kato Jaro,1,1,0,5,12,41.7,0,2,0.0,1,1,100.0,10.0,3.0,3.0,1.0,11.0,,,,,,,
Manny Vuy,1,1,0,5,19,26.3,1,5,20.0,0,0,0.0,5.0,1.0,1.0,3.0,11.0,,,,,,,
Akida Lewis,5,9,0,25,50,50.0,1,4,25.0,4,9,44.4,8.2,1.2,0.8,0.8,11.0,,,,,,,
Raghav Sharma,1,3,0,4,11,36.4,3,6,50.0,0,0,0.0,7.0,3.0,4.0,0.0,11.0,,,,,,,
Tanner Smith,9,11,0,42,98,42.9,0,1,0.0,13,27,48.1,20.2,3.9,3.0,2.2,10.8,,,,,,,
Joash Rocaberte,3,3,0,12,36,33.3,5,23,21.7,3,3,100.0,4.3,3.7,1.7,0.3,10.7,,,,,,,
Mike Amyaba,3,5,1,16,25,64.0,0,3,0.0,0,0,0.0,9.0,1.7,1.7,2.0,10.7,,,,,,,
Dinh Anh Tuan Nguyen,7,8,0,31,103,30.1,10,34,29.4,3,5,60.0,5.7,3.0,1.6,0.3,10.7,,,,,,,
Connor McEvoy,9,5,0,37,107,34.6,9,47,19.1,13,27,48.1,5.3,0.9,0.4,0.2,10.7,,,,,,,
Gio Advincula,9,12,0,40,99,40.4,3,14,21.4,13,19,68.4,7.4,0.7,0.8,0.7,10.7,,,,,,,
Jordan Hutsal,18,22,0,73,157,46.5,6,29,20.7,38,54,70.4,8.1,2.9,1.1,1.8,10.6,,,,,,,
Lance Del Mundo,9,3,0,37,121,30.6,6,46,13.0,15,22,68.2,5.3,3.3,0.8,0.0,10.6,,,,,,,
Ryan Griffiths,4,7,0,21,35,60.0,0,1,0.0,0,2,0.0,8.5,1.3,1.0,2.5,10.5,,,,,,,
Myles Stewart,8,16,0,34,108,31.5,13,51,25.5,2,7,28.6,5.4,2.9,2.5,0.1,10.4,,,,,,,
Navneet Dandiala,9,25,0,40,91,44.0,6,25,24.0,7,11,63.6,9.0,0.6,0.6,0.9,10.3,,,,,,,
Caleb MacDonald,7,6,0,34,82,41.5,2,6,33.3,2,12,16.7,12.3,1.6,2.1,3.9,10.3,,,,,,,
Ben Anderson,7,12,0,30,75,40.0,5,27,18.5,7,12,58.3,8.3,2.0,0.4,1.0,10.3,,,,,,,
Hamza Alejandria,7,11,1,33,84,39.3,4,18,22.2,2,9,22.2,2.7,2.0,1.3,0.3,10.3,,,,,,,
Dhemir Punay,9,17,0,36,135,26.7,18,86,20.9,3,5,60.0,4.8,2.2,1.8,0.1,10.3,,,,,,,
Josiah Uminga,5,11,0,19,65,29.2,5,21,23.8,11,14,78.6,4.2,2.0,1.8,1.0,10.2,,,,,,,
Ruidi Shi,11,39,0,40,101,39.6,29,70,41.4,3,4,75.0,4.3,3.1,1.0,0.0,10.2,,,,,,,
Hussien Patience,9,21,1,36,140,25.7,12,74,16.2,7,12,58.3,6.1,1.4,1.4,0.0,10.1,,,,,,,
Bharanjot Singh,7,8,0,24,84,28.6,10,55,18.2,14,22,63.6,6.4,5.9,1.9,0.0,10.0,,,,,,,
Matt Thomas,5,5,0,20,47,42.6,9,24,37.5,1,4,25.0,10.8,6.6,1.2,0.4,10.0,,,,,,,
Devyn Hrechkosy,9,10,0,42,87,48.3,0,4,0.0,6,8,75.0,10.9,1.6,1.3,0.2,10.0,,,,,,,
Dylan Lemay,1,1,0,5,10,50.0,0,0,0.0,0,1,0.0,9.0,3.0,1.0,1.0,10.0,,,,,,,
Aaron Beckman,1,2,0,3,7,42.9,2,5,40.0,2,2,100.0,10.0,4.0,0.0,0.0,10.0,,,,,,,
Jacky Pham,12,23,0,55,97,56.7,0,2,0.0,9,19,47.4,7.7,1.6,2.2,0.2,9.9,,,,,,,
Nicolas Dizon,7,8,0,26,77,33.8,7,31,22.6,10,21,47.6,5.3,1.7,1.3,0.3,9.9,,,,,,,
Mark Munyuza,9,20,0,38,75,50.7,0,0,0.0,12,19,63.2,7.9,0.8,0.6,0.9,9.8,,,,,,,
Danny Urbina,19,31,1,76,201,37.8,10,50,20.0,27,42,64.3,7.9,2.8,1.7,0.5,9.8,,,,,,,
Aiden Walker,6,4,0,24,54,44.4,6,18,33.3,5,6,83.3,6.0,0.7,0.7,0.2,9.8,,,,,,,
