Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Matthew Foreman,1,1,0,11,18,61.1,1,1,100.0,1,4,25.0,24,18.0,1.0,0.0,1.0,24.0,,,,,,30
Bosko Zorcic,17,31,1,142,100,40.9,60,166,36.1,57,87,65.5,402,8.5,2.5,1.2,0.1,23.6,,,,,,30
Elliot Unger,16,10,0,154,100,48.0,31,93,33.3,37,56,66.1,374,11.8,2.7,0.8,1.4,23.4,,,,,,30
Nate Bangura,18,23,1,158,100,41.8,57,216,26.4,37,53,69.8,420,6.8,2.4,1.2,1.2,23.3,,,,,,30
Jaharqa Metaxas,18,13,0,190,100,49.7,24,118,20.3,13,20,65.0,417,6.2,4.7,0.9,0.1,23.2,,,,,,30
Kyshawn Ramnauth,2,3,0,18,39,46.2,3,14,21.4,7,13,53.8,46,4.5,4.5,1.0,0.0,23.0,,,,,,30
Sam Jensen,15,11,0,122,100,48.2,78,174,44.8,21,25,84.0,343,6.5,2.0,1.5,0.8,22.9,,,,,,30
Julean Garcia,20,55,0,195,100,52.8,21,71,29.6,41,66,62.1,452,11.3,1.3,1.2,0.3,22.6,,,,,,30
Eric Garcia,19,14,1,143,100,46.3,66,175,37.7,75,107,70.1,425,4.2,1.4,1.1,0.0,22.4,,,,,,30
Waris Njoya,9,12,1,78,100,46.2,25,79,31.6,19,23,82.6,200,6.3,2.9,1.1,0.0,22.2,,,,,,30
Graham Bodnar,15,18,0,124,100,55.1,11,35,31.4,67,76,88.2,326,9.9,5.5,1.1,0.5,21.7,,,,,,30
Giovanni Ajiamah,2,3,0,18,30,60.0,5,11,45.5,2,2,100.0,43,8.0,0.5,0.5,0.5,21.5,,,,,,30
Parker Hamlin,8,6,0,64,100,40.8,29,92,31.5,12,21,57.1,171,10.3,3.1,1.0,1.8,21.4,,,,,,30
Liam Collier,12,24,0,112,100,40.6,10,50,20.0,23,49,46.9,256,13.0,1.7,2.6,1.0,21.3,,,,,,30
Jamar Farley,3,4,0,21,51,41.2,16,41,39.0,5,6,83.3,63,7.0,2.7,2.7,0.7,21.0,,,,,,30
Damian Drzewiec,18,21,0,127,100,32.8,58,209,27.8,66,107,61.7,378,8.1,1.9,0.3,0.2,21.0,,,,,,30
Vince Munoz,1,1,0,9,14,64.3,0,0,0.0,3,3,100.0,21,1.0,1.0,0.0,0.0,21.0,,,,,,30
Daniel Kilmartin,36,62,3,289,100,56.8,45,116,38.8,121,166,72.9,744,8.7,1.8,1.7,1.0,20.7,,,,,,30
Karl de Sagun,17,17,0,133,100,42.9,44,127,34.6,42,58,72.4,352,4.6,1.3,1.8,0.1,20.7,,,,,,30
Luke Cardinal,20,32,1,163,100,45.2,34,116,29.3,53,67,79.1,411,4.7,2.8,2.4,0.5,20.6,,,,,,30
Raghav Sharma,5,9,0,37,76,48.7,24,40,60.0,4,7,57.1,102,3.6,0.4,2.2,0.2,20.4,,,,,,30
Dharmpal Brar,15,22,0,113,100,52.8,39,91,42.9,36,52,69.2,301,6.5,2.3,1.1,0.1,20.1,,,,,,30
Jaired Garing,19,25,2,145,100,49.0,48,124,38.7,44,56,78.6,382,7.4,5.4,2.6,0.4,20.1,,,,,,30
Trudon Bofoya,1,1,0,10,12,83.3,0,0,0.0,0,0,0.0,20,7.0,0.0,0.0,0.0,20.0,,,,,,30
Dustin Lavallee,16,24,0,104,100,41.8,51,121,42.1,61,74,82.4,319,5.8,2.4,0.9,0.1,19.9,,,,,,30
Gee-ef Nkwonta,20,26,0,160,100,44.6,37,126,29.4,41,56,73.2,398,5.2,3.1,1.6,0.4,19.9,,,,,,30
Jon Wilner,15,27,2,123,100,41.8,18,86,20.9,32,54,59.3,298,6.1,2.3,1.3,0.3,19.9,,,,,,30
Inderpal Grewal,18,39,0,145,100,52.0,12,53,22.6,55,89,61.8,357,6.9,2.4,1.4,0.4,19.8,,,,,,30
Abdalla Hakim,49,37,0,398,100,51.8,105,278,37.8,57,90,63.3,958,9.0,3.0,3.0,1.0,19.6,,,,,,30
Nhial Deng,11,32,2,87,100,41.2,29,92,31.5,10,17,58.8,216,8.8,0.5,0.5,0.7,19.6,,,,,,30
Joshua Van Walleghem,17,14,0,145,100,61.7,9,19,47.4,35,85,41.2,334,7.2,0.8,0.9,0.1,19.6,,,,,,30
Kuet Kuet,10,12,0,77,100,44.5,10,40,25.0,29,44,65.9,193,7.4,1.9,0.5,0.0,19.3,,,,,,30
Branden Critch,3,3,0,25,42,59.5,0,2,0.0,8,8,100.0,58,13.0,0.3,0.7,1.0,19.3,,,,,,30
Henri Dos Santos,15,19,0,123,100,48.6,5,15,33.3,37,47,78.7,288,7.3,1.3,1.1,0.6,19.2,,,,,,30
Teejay Capuno,9,11,0,63,100,40.9,21,76,27.6,26,41,63.4,173,3.4,2.1,2.4,0.1,19.2,,,,,,30
Easton Apostle,18,34,1,137,100,47.6,50,139,36.0,21,30,70.0,346,7.3,1.6,1.8,1.3,19.2,,,,,,30
Peter Lomuro,15,10,0,100,100,40.5,28,94,29.8,59,81,72.8,287,5.7,1.5,0.9,0.0,19.1,,,,,,30
Nhial Deng (Duplicate),1,1,0,8,16,50.0,3,6,50.0,0,0,0.0,19,7.0,3.0,3.0,3.0,19.0,,,,,,30
Jonathan McIntosh,12,21,1,90,100,55.9,16,40,40.0,29,45,64.4,225,5.5,2.1,1.1,0.4,18.8,,,,,,30
Kurius Lathlin,18,41,2,142,100,54.6,19,57,33.3,38,74,51.4,339,6.3,4.0,1.7,0.2,18.8,,,,,,30
Chan Madut,14,17,0,106,100,45.5,20,79,25.3,30,60,50.0,262,7.6,2.0,2.1,0.1,18.7,,,,,,30
Joshua Fast,20,17,1,148,100,44.2,45,140,32.1,30,46,65.2,373,5.5,2.2,1.4,0.2,18.7,,,,,,30
Matt Gillis,10,10,1,78,100,45.6,11,27,40.7,18,29,62.1,185,8.7,2.1,1.0,0.6,18.5,,,,,,30
