Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Bernard Manishimwe,8,19,0,18,45,40.0,2,9,22.2,3,4,75.0,6.0,0.6,0.5,0.3,5.1,,,,,,,100
Henok Kidane,1,0,0,2,5,40.0,0,1,0.0,1,2,50.0,3.0,2.0,1.0,0.0,5.0,,,,,,,100
Chandeep Brar,7,5,0,12,41,29.3,8,25,32.0,3,4,75.0,0.9,1.1,0.0,0.0,5.0,,,,,,,100
Jean Paul Ngabo,1,0,0,2,10,20.0,1,9,11.1,0,0,0.0,7.0,2.0,1.0,0.0,5.0,,,,,,,100
Eury Dizon,8,3,0,18,44,40.9,3,15,20.0,1,5,20.0,4.3,0.5,0.1,0.0,5.0,,,,,,,100
Cyril Hernandez,8,8,0,17,61,27.9,3,27,11.1,3,6,50.0,3.6,2.3,1.5,0.0,5.0,,,,,,,100
Sahil Sidhu,3,4,0,6,14,42.9,3,10,30.0,0,0,0.0,2.3,0.7,0.7,0.3,5.0,,,,,,,100
Djibrine Mahamat Abdoulaye Di,1,0,0,2,9,22.2,0,0,0.0,1,4,25.0,12.0,0.0,0.0,0.0,5.0,,,,,,,100
Spencer Rerick,2,1,0,5,7,71.4,0,0,0.0,0,4,0.0,3.5,0.5,0.0,0.0,5.0,,,,,,,100
Elijah Maple-Stevens,3,1,0,6,20,30.0,2,11,18.2,1,7,14.3,3.7,0.7,1.0,0.0,5.0,,,,,,,100
Josh Pacia,6,8,0,13,27,48.1,2,6,33.3,2,8,25.0,3.0,1.7,0.7,0.0,5.0,,,,,,,100
Josiah Manalang,1,1,0,2,7,28.6,1,4,25.0,0,0,0.0,5.0,0.0,0.0,0.0,5.0,,,,,,,100
Gia Hoa Luu,1,2,0,2,22,9.1,1,9,11.1,0,0,0.0,8.0,4.0,2.0,0.0,5.0,,,,,,,100
John Balagtas,11,26,1,24,50,48.0,0,0,0.0,7,16,43.8,6.8,1.2,0.7,0.2,5.0,,,,,,,100
